news_headline,news_article,news_category,full_text,clean_text
"Uber may suspend accounts of riders, drivers who test positive for coronavirus","Uber notified riders and drivers that it may temporarily suspend accounts of anyone who has tested positive for the coronavirus or has been exposed to it. It also said that it is providing drivers with disinfectants to help them keep their cars clean. ""We're also consulting with an epidemiologist to make sure our efforts...are grounded in medical advice,"" Uber said.",technology,"Uber may suspend accounts of riders, drivers who test positive for coronavirus. Uber notified riders and drivers that it may temporarily suspend accounts of anyone who has tested positive for the coronavirus or has been exposed to it. It also said that it is providing drivers with disinfectants to help them keep their cars clean. ""We're also consulting with an epidemiologist to make sure our efforts...are grounded in medical advice,"" Uber said.",uber may suspend account rider driver test positive coronavirus uber notify rider driver may temporarily suspend account anyone test positive coronavirus expose also say provide driver disinfectant help keep car clean also consult epidemiologist make sure effort ground medical advice uber say
"Amazon to give paid sick leave to quarantined staff, forms $25 mn fund","Amazon will give all employees diagnosed with coronavirus or quarantined, up to two weeks of pay. ""This...is to ensure employees have the time they need to return to good health without the worry of lost pay,"" it said. A $25-million relief fund has also been established to support its seasonal staff and others ""under financial distress during this challenging time"".",technology,"Amazon to give paid sick leave to quarantined staff, forms $25 mn fund. Amazon will give all employees diagnosed with coronavirus or quarantined, up to two weeks of pay. ""This...is to ensure employees have the time they need to return to good health without the worry of lost pay,"" it said. A $25-million relief fund has also been established to support its seasonal staff and others ""under financial distress during this challenging time"".",amazon give pay sick leave quarantined staff form mn fund amazon give employee diagnose coronavirus quarantine two week pay ensure employee time need return good health without worry lost pay say million relief fund also establish support seasonal staff financial distress challenging time
Google creates fund to support temporary staff with COVID-19 symptoms ,Google has created a fund for all its temporary staff and vendors worldwide who would take paid leave if they have symptoms of coronavirus. Google has told employees across offices in North America to work from home to contain the spread of the virus. A Google employee has been tested positive after he spent time in the company's Zurich office.,technology,Google creates fund to support temporary staff with COVID-19 symptoms . Google has created a fund for all its temporary staff and vendors worldwide who would take paid leave if they have symptoms of coronavirus. Google has told employees across offices in North America to work from home to contain the spread of the virus. A Google employee has been tested positive after he spent time in the company's Zurich office.,google create fund support temporary staff covid symptom google create fund temporary staff vendor worldwide would take pay leave symptom coronavirus google tell employee across office north america work home contain spread virus google employee test positive spend time companys zurich office
"SoftBank's Masayoshi Son tweets after 3 yrs, says 'worried about new coronavirus'","SoftBank Founder Masayoshi Son, who last posted on Twitter three years ago, tweeted, ""I am worried about the situation of the new coronavirus."" ""We would like to offer free PCR access to those who are worried about the new coronavirus,"" he further wrote. However, his proposal was met with criticism that it would overburden medical facilities and workers.",technology,"SoftBank's Masayoshi Son tweets after 3 yrs, says 'worried about new coronavirus'. SoftBank Founder Masayoshi Son, who last posted on Twitter three years ago, tweeted, ""I am worried about the situation of the new coronavirus."" ""We would like to offer free PCR access to those who are worried about the new coronavirus,"" he further wrote. However, his proposal was met with criticism that it would overburden medical facilities and workers.",softbank masayoshi son tweet yrs say worried new coronavirus softbank founder masayoshi son last post twitter three year ago tweet worried situation new coronavirus would like offer free pcr access worried new coronavirus write however proposal meet criticism would overburden medical facility worker
"Hackers using COVID-19 maps to infect computers, steal credit card info: Report","After several organisations created online dashboards to track coronavirus updates, hackers have found a way to infect them, a security researcher at Reason Labs found. They have created similar websites that require users to download an app to track updates through a map. Hackers then inject malware in computers and access users' names, passwords and credit card information. ",technology,"Hackers using COVID-19 maps to infect computers, steal credit card info: Report. After several organisations created online dashboards to track coronavirus updates, hackers have found a way to infect them, a security researcher at Reason Labs found. They have created similar websites that require users to download an app to track updates through a map. Hackers then inject malware in computers and access users' names, passwords and credit card information. ",hacker use covid map infect computer steal credit card info report several organisation create online dashboard track coronavirus update hacker find way infect security researcher reason lab find create similar website require user download app track update map hacker inject malware computer access user name password credit card information
PUBG Mobile Pro League to be held online amid coronavirus fears,"With the growing concerns over the coronavirus outbreak, Tencent Games announced PUBG Mobile Pro League being converted to an online-only event. The developer announced that the event will take place on its scheduled date March 19, ""without our fan and audience presence"". ""We take...the public health very seriously. We adhere to all the guidance and recommended precautionary measures,"" it added.",technology,"PUBG Mobile Pro League to be held online amid coronavirus fears. With the growing concerns over the coronavirus outbreak, Tencent Games announced PUBG Mobile Pro League being converted to an online-only event. The developer announced that the event will take place on its scheduled date March 19, ""without our fan and audience presence"". ""We take...the public health very seriously. We adhere to all the guidance and recommended precautionary measures,"" it added.",pubg mobile pro league hold online amid coronavirus fear grow concern coronavirus outbreak tencent game announce pubg mobile pro league convert online event developer announce event take place schedule date march without fan audience presence take public health seriously adhere guidance recommend precautionary measure add
TikTok to let outside experts in US to directly view its operations,"TikTok announced opening a ""Transparency Center"" at its Los Angeles office where external experts will be able to evaluate its operations. It said that among other things, experts will be able to see how a content, allowed on the platform, aligns to TikTok's guidelines. TikTok expects that through this ""observers will be able to provide meaningful feedback"" on its practices.",technology,"TikTok to let outside experts in US to directly view its operations. TikTok announced opening a ""Transparency Center"" at its Los Angeles office where external experts will be able to evaluate its operations. It said that among other things, experts will be able to see how a content, allowed on the platform, aligns to TikTok's guidelines. TikTok expects that through this ""observers will be able to provide meaningful feedback"" on its practices.",tiktok let outside expert us directly view operation tiktok announce open transparency center los angele office external expert able evaluate operation say among thing expert able see content allow platform align tiktoks guideline tiktok expect observer able provide meaningful feedback practice
3D-printed hypercar that can be refuelled with methanol debuts in London,"Czinger 21C hybrid hypercar, produced using 3D printing and that can be refuelled with sustainably produced methanol, debuted in public in London. The car is expected to do zero to around 400 kmph in 29 seconds, a report said. Only 80 Czinger 21Cs are going to be made and their price is expected to be around $2.6 million. ",technology,"3D-printed hypercar that can be refuelled with methanol debuts in London. Czinger 21C hybrid hypercar, produced using 3D printing and that can be refuelled with sustainably produced methanol, debuted in public in London. The car is expected to do zero to around 400 kmph in 29 seconds, a report said. Only 80 Czinger 21Cs are going to be made and their price is expected to be around $2.6 million. ",print hypercar refuel methanol debut london czinger c hybrid hypercar produce use printing refuel sustainably produce methanol debut public london car expect zero around kmph second report say czinger cs go make price expect around million
Gender equality progress threatened by online harm women face: WWW creator,"Talking about online abuse of women, Tim Berners-Lee, creator of World Wide Web, said that ""online harms"" faced by women and girls threatened the ""progress on gender equality"". He added, online abuse ""forces women out of jobs"" and ""damages relationships"". ""Relentless harassment silences women...with female journalists and politicians pushed off social media and bullied out of office,"" Lee said.",technology,"Gender equality progress threatened by online harm women face: WWW creator. Talking about online abuse of women, Tim Berners-Lee, creator of World Wide Web, said that ""online harms"" faced by women and girls threatened the ""progress on gender equality"". He added, online abuse ""forces women out of jobs"" and ""damages relationships"". ""Relentless harassment silences women...with female journalists and politicians pushed off social media and bullied out of office,"" Lee said.",gender equality progress threaten online harm woman face www creator talk online abuse woman tim berner lee creator world wide web say online harm face woman girl threaten progress gender equality add online abuse force woman job damage relationship relentless harassment silence woman female journalist politician push social medium bully office lee say
Apple's tracking device 'AirTag' may have coin-shaped removable cell: Report,"Apple's rumoured bluetooth tracking device, AirTag, may feature a removable CR2032 coin cell battery, a report said. It was earlier rumoured that the tags would feature a magnetic wireless charging similar to the Apple Watch. AirTag will reportedly be a waterproof device which would help users keep track of their personal belongings, such as their keys, wallets and backpacks.",technology,"Apple's tracking device 'AirTag' may have coin-shaped removable cell: Report. Apple's rumoured bluetooth tracking device, AirTag, may feature a removable CR2032 coin cell battery, a report said. It was earlier rumoured that the tags would feature a magnetic wireless charging similar to the Apple Watch. AirTag will reportedly be a waterproof device which would help users keep track of their personal belongings, such as their keys, wallets and backpacks.",apple track device airtag may coin shape removable cell report apple rumour bluetooth tracking device airtag may feature removable cr coin cell battery report say earlier rumour tag would feature magnetic wireless charge similar apple watch airtag reportedly waterproof device would help user keep track personal belonging key wallet backpack
Google fined $8 mn by Sweden for violating 'right-to-be-forgotten' law,"Sweden's Data Protection Authority (DPA) issued a $8-million fine to Google for failing to comply with European Union's 'right-to-be-forgotten' rules. The agency said in its ruling that Google failed to ""properly remove"" two search results which it was ordered in 2017. The rule allows individuals to ask tech companies to remove negative private information from internet searches and other places. ",technology,"Google fined $8 mn by Sweden for violating 'right-to-be-forgotten' law. Sweden's Data Protection Authority (DPA) issued a $8-million fine to Google for failing to comply with European Union's 'right-to-be-forgotten' rules. The agency said in its ruling that Google failed to ""properly remove"" two search results which it was ordered in 2017. The rule allows individuals to ask tech companies to remove negative private information from internet searches and other places. ",google fin mn sweden violate right forget law sweden data protection authority dpa issue million fine google fail comply european union right forget rule agency say ruling google fail properly remove two search result order rule allow individual ask tech company remove negative private information internet search place
Hyderabad police detains man for spreading fake news on WhatsApp,Hyderabad police detained an autorickshaw driver for allegedly spreading a fake message on WhatsApp that communal riots similar to what happened in Delhi would occur in Hyderabad. The 28-year-old's video went viral in groups after which the cyber police started an investigation. Hyderabad Police Commissioner Anjani Kumar had earlier tweeted about the police having traced the origin of the message.,technology,Hyderabad police detains man for spreading fake news on WhatsApp. Hyderabad police detained an autorickshaw driver for allegedly spreading a fake message on WhatsApp that communal riots similar to what happened in Delhi would occur in Hyderabad. The 28-year-old's video went viral in groups after which the cyber police started an investigation. Hyderabad Police Commissioner Anjani Kumar had earlier tweeted about the police having traced the origin of the message.,hyderabad police detain man spread fake news whatsapp hyderabad police detain autorickshaw driver allegedly spread fake message whatsapp communal riot similar happen delhi would occur hyderabad year old video go viral group cyber police start investigation hyderabad police commissioner anjani kumar earlier tweet police trace origin message
UK to charge additional 2% tax on big tech firms from April 1,"The UK will levy the additional 2% tax called the 'Digital Services Tax' on technology firms from April 1, which has been opposed by US. The government believes the tax could raise over £400 million ($512 million) each year. The tax will be applicable to companies making over £25 million (about $32 million) revenue from digital activities in UK.",technology,"UK to charge additional 2% tax on big tech firms from April 1. The UK will levy the additional 2% tax called the 'Digital Services Tax' on technology firms from April 1, which has been opposed by US. The government believes the tax could raise over £400 million ($512 million) each year. The tax will be applicable to companies making over £25 million (about $32 million) revenue from digital activities in UK.",uk charge additional tax big tech firm april uk levy additional tax call digital service tax technology firm april oppose us government believe tax could raise million million year tax applicable company make million million revenue digital activity uk
Partner with multiple banks: NPCI asks UPI apps after Yes Bank's outage,"The National Payments Corporation of India (NPCI) has urged UPI apps to partner with more banks. ""NPCI has been a proponent of the multibank model to ensure full resilience of the ecosystem,"" it said in a statement. Earlier, PhonePe had gone down after its UPI partner Yes Bank had been put under moratorium.",technology,"Partner with multiple banks: NPCI asks UPI apps after Yes Bank's outage. The National Payments Corporation of India (NPCI) has urged UPI apps to partner with more banks. ""NPCI has been a proponent of the multibank model to ensure full resilience of the ecosystem,"" it said in a statement. Earlier, PhonePe had gone down after its UPI partner Yes Bank had been put under moratorium.",partner multiple bank npci ask upi app yes bank outage national payment corporation india npci urge upi app partner bank npci proponent multibank model ensure full resilience ecosystem say statement earlier phonepe go upi partner yes bank put moratorium
Microsoft appoints its first-ever Chief Scientific Officer,"Microsoft has appointed Eric Horvitz as its first-ever Chief Scientific Officer. Horvitz who joined Microsoft in 1993, has been a Technical Fellow and Director at Microsoft's Research Labs. He also co-chairs its Artificial Intelligence and Ethics in Engineering and Research committee. In February, Microsoft's Executive Vice President of research and AI, Harry Shum left the company.",technology,"Microsoft appoints its first-ever Chief Scientific Officer. Microsoft has appointed Eric Horvitz as its first-ever Chief Scientific Officer. Horvitz who joined Microsoft in 1993, has been a Technical Fellow and Director at Microsoft's Research Labs. He also co-chairs its Artificial Intelligence and Ethics in Engineering and Research committee. In February, Microsoft's Executive Vice President of research and AI, Harry Shum left the company.",microsoft appoint first ever chief scientific officer microsoft appoint eric horvitz first ever chief scientific officer horvitz join microsoft technical fellow director microsoft research lab also co chair artificial intelligence ethic engineering research committee february microsoft executive vice president research ai harry shum leave company
A footballer once helped end civil war in his country,"Chelsea legend Didier Drogba appealed to the warring factions in Ivory Coast to end the civil war, just after the country qualified for 2006 FIFA World Cup. Drogba, who turns 42 today, made the appeal on national television from the team's dressing room. The government and the opposing forces agreed to start peace talks, following which a ceasefire was announced.",sports,"A footballer once helped end civil war in his country. Chelsea legend Didier Drogba appealed to the warring factions in Ivory Coast to end the civil war, just after the country qualified for 2006 FIFA World Cup. Drogba, who turns 42 today, made the appeal on national television from the team's dressing room. The government and the opposing forces agreed to start peace talks, following which a ceasefire was announced.",footballer help end civil war country chelsea legend didier drogba appeal war faction ivory coast end civil war country qualify fifa world cup drogba turn today make appeal national television team dressing room government oppose force agree start peace talk follow ceasefire announce
400+ target has been chased only once in ODIs' 49-year history,"A 400-plus target has been successfully chased only once in 4,254 ODIs and 49 years of ODI cricket. South Africa achieved the feat by chasing down Australia's 434, the first-ever 400-plus ODI total, at Johannesburg on March 12, 2006. The match witnessed 87 fours and 26 sixes, with both teams scoring combined 872, the highest match aggregate in ODI history.",sports,"400+ target has been chased only once in ODIs' 49-year history. A 400-plus target has been successfully chased only once in 4,254 ODIs and 49 years of ODI cricket. South Africa achieved the feat by chasing down Australia's 434, the first-ever 400-plus ODI total, at Johannesburg on March 12, 2006. The match witnessed 87 fours and 26 sixes, with both teams scoring combined 872, the highest match aggregate in ODI history.",target chase odi year history plus target successfully chase odi year odi cricket south africa achieve feat chase australia first ever plus odi total johannesburg march match witness four six team score combine high match aggregate odi history
SA's Gibbs was hungover during world record ODI chase vs Australia,"South Africa's Herschelle Gibbs was hungover when he smashed 175 runs off 111 balls to help his team record the highest successful chase in ODI history against Australia on March 12, 2006. Gibbs admitted in his autobiography that he drank till late in the night prior to the ODI and had a ""massive hangover"" when he came out to bat.",sports,"SA's Gibbs was hungover during world record ODI chase vs Australia. South Africa's Herschelle Gibbs was hungover when he smashed 175 runs off 111 balls to help his team record the highest successful chase in ODI history against Australia on March 12, 2006. Gibbs admitted in his autobiography that he drank till late in the night prior to the ODI and had a ""massive hangover"" when he came out to bat.",sas gibbs hungover world record odi chase vs australia south africas herschelle gibb hungover smash run ball help team record high successful chase odi history australia march gibbs admit autobiography drink till late night prior odi massive hangover come bat
Bowler never played an ODI after giving 113 runs in a match,"Australia's Mick Lewis never played international cricket again after leaking record 113 runs in the ODI against South Africa on March 12, 2006. Playing just his seventh ODI, the pacer registered figures of 10-0-113-0 as South Africa scored 438 to record the highest-ever successful ODI chase. Herschelle Gibbs, who scored 175 in the match, was dropped twice on Lewis' bowling.",sports,"Bowler never played an ODI after giving 113 runs in a match. Australia's Mick Lewis never played international cricket again after leaking record 113 runs in the ODI against South Africa on March 12, 2006. Playing just his seventh ODI, the pacer registered figures of 10-0-113-0 as South Africa scored 438 to record the highest-ever successful ODI chase. Herschelle Gibbs, who scored 175 in the match, was dropped twice on Lewis' bowling.",bowler never play odi give run match australias mick lewi never play international cricket leak record run odi south africa march play seventh odi pacer register figure south africa score record high ever successful odi chase herschelle gibbs score match drop twice lewis bowling
Margin of victory was same in first-ever and centenary Tests,"The margin of victory was same in the first-ever Test in 1877 and the match played to celebrate Test cricket's centenary in 1977. Australia beat England by 45 runs in the first-ever Test and also won the special match that started on March 12 against England 100 years later by the same margin. Both the matches were played in Melbourne.
",sports,"Margin of victory was same in first-ever and centenary Tests. The margin of victory was same in the first-ever Test in 1877 and the match played to celebrate Test cricket's centenary in 1977. Australia beat England by 45 runs in the first-ever Test and also won the special match that started on March 12 against England 100 years later by the same margin. Both the matches were played in Melbourne.
",margin victory first ever centenary test margin victory first ever test match play celebrate test cricket centenary australia beat england run first ever test also win special match start march england year later margin match play melbourne
Ronaldo in quarantine at hometown after teammate tests positive for coronavirus,Juventus forward Cristiano Ronaldo is remaining in quarantine in his Madeira home after his teammate Daniele Rugani tested positive for the virus. Both Ronaldo and Rugani shared a dressing room on Sunday when Juventus beat Inter Milan 2-0 behind closed doors. Ronaldo flew to his hometown after his mother suffered a stroke and will not be flying back to Turin.,sports,Ronaldo in quarantine at hometown after teammate tests positive for coronavirus. Juventus forward Cristiano Ronaldo is remaining in quarantine in his Madeira home after his teammate Daniele Rugani tested positive for the virus. Both Ronaldo and Rugani shared a dressing room on Sunday when Juventus beat Inter Milan 2-0 behind closed doors. Ronaldo flew to his hometown after his mother suffered a stroke and will not be flying back to Turin.,ronaldo quarantine hometown teammate test positive coronavirus juventus forward cristiano ronaldo remain quarantine madeira home teammate daniele rugani test positive virus ronaldo rugani share dressing room sunday juventus beat inter milan behind closed door ronaldo fly hometown mother suffer stroke not fly back turin
IPL should not be conducted at this time: Govt,"The Ministry of External Affairs has said that the Indian Premier League (IPL) should not be conducted at this time amid the coronavirus pandemic. ""It is for the organisers to decide...If they want to go ahead, it is their decision,"" the ministry added. As many as 74 cases of coronavirus have been confirmed in India so far.",sports,"IPL should not be conducted at this time: Govt. The Ministry of External Affairs has said that the Indian Premier League (IPL) should not be conducted at this time amid the coronavirus pandemic. ""It is for the organisers to decide...If they want to go ahead, it is their decision,"" the ministry added. As many as 74 cases of coronavirus have been confirmed in India so far.",ipl not conduct time govt ministry external affair say indian premier league ipl not conduct time amid coronavirus pandemic organiser decide want go ahead decision ministry add many case coronavirus confirm india far
Toilet at Rajkot stadium is so smelly that literally no one gives a shit: Rohan,"Cricketer-turned-commentator Rohan Gavaskar, who is commentating in the ongoing Ranji final between Bengal and Saurashtra at Saurashtra Cricket Association Stadium in Rajkot, criticised the condition of the toilets at the stadium. ""The toilet at the Saurashtra is so smelly that literally no one gives a shit!!!!"" he tweeted. Reacting to his tweet, WV Raman wrote, ""You seem really pissed off.""",sports,"Toilet at Rajkot stadium is so smelly that literally no one gives a shit: Rohan. Cricketer-turned-commentator Rohan Gavaskar, who is commentating in the ongoing Ranji final between Bengal and Saurashtra at Saurashtra Cricket Association Stadium in Rajkot, criticised the condition of the toilets at the stadium. ""The toilet at the Saurashtra is so smelly that literally no one gives a shit!!!!"" he tweeted. Reacting to his tweet, WV Raman wrote, ""You seem really pissed off.""",toilet rajkot stadium smelly literally no one give shit rohan cricketer turn commentator rohan gavaskar commentate ongoing ranji final bengal saurashtra saurashtra cricket association stadium rajkot criticise condition toilet stadium toilet saurashtra smelly literally no one give shit tweet react tweet wv raman write seem really pissed
There were times I didn't want to come back: Smith told team after serving ban,"In his first meeting with Australian players after returning from one-year ban, Steve Smith told them, ""It was pretty tough and I have had times where I probably didn't want to come back and play."" Meanwhile, David Warner told his teammates, ""How we have been accepted in the past 24 hours. I don't really feel like I've left.""",sports,"There were times I didn't want to come back: Smith told team after serving ban. In his first meeting with Australian players after returning from one-year ban, Steve Smith told them, ""It was pretty tough and I have had times where I probably didn't want to come back and play."" Meanwhile, David Warner told his teammates, ""How we have been accepted in the past 24 hours. I don't really feel like I've left.""",time not want come back smith tell team serve ban first meeting australian player return one year ban steve smith tell pretty tough time probably not want come back play meanwhile david warner tell teammate accept past hour not really feel like leave
NBA suspends season after player who mocked coronavirus fears tests positive,"The NBA has suspended its season until further notice after Utah Jazz's Rudy Gobert tested positive for coronavirus. Earlier, Gobert was criticised for deliberately wiping his hands on journalists' microphones and recorders before leaving a press conference. ""We'll use this hiatus to determine next steps for moving forward in regard to the coronavirus pandemic,"" the NBA said in a statement.",sports,"NBA suspends season after player who mocked coronavirus fears tests positive. The NBA has suspended its season until further notice after Utah Jazz's Rudy Gobert tested positive for coronavirus. Earlier, Gobert was criticised for deliberately wiping his hands on journalists' microphones and recorders before leaving a press conference. ""We'll use this hiatus to determine next steps for moving forward in regard to the coronavirus pandemic,"" the NBA said in a statement.",nba suspend season player mock coronavirus fear test positive nba suspend season notice utah jazzs rudy gobert test positive coronavirus earlier gobert criticise deliberately wipe hand journalist microphone recorder leave press conference use hiatus determine next step move forward regard coronavirus pandemic nba say statement
